mu1,mu2,gap,contrast,share_always,share_never,mean_gain_income_always,N,R,store_threshold
0.5,0.4,0.1,0.80→0.85,0.05144,0.80902,0.034074892115085895,100,500,0.01
0.5,0.4,0.1,0.80→0.90,0.05144,0.5719,0.07025198170219715,100,500,0.01
0.5,0.4,0.1,0.80→0.95,0.05144,0.35872,0.10532286240339343,100,500,0.01
0.55,0.45000000000000007,0.1,0.80→0.85,0.06,0.79682,0.03806218290407365,100,500,0.01
0.55,0.45000000000000007,0.1,0.80→0.90,0.06,0.564,0.07385857297521116,100,500,0.01
0.55,0.45000000000000007,0.1,0.80→0.95,0.06,0.31266,0.10894004831029294,100,500,0.01
0.6000000000000001,0.5000000000000001,0.1,0.80→0.85,0.0329,0.82604,0.02221342124893637,100,500,0.01
0.6000000000000001,0.5000000000000001,0.1,0.80→0.90,0.0329,0.529,0.05528689004745586,100,500,0.01
0.6000000000000001,0.5000000000000001,0.1,0.80→0.95,0.0329,0.34018,0.08824065937053664,100,500,0.01
0.6500000000000001,0.5500000000000002,0.1,0.80→0.85,0.02192,0.82404,0.04034357031955896,100,500,0.01
0.6500000000000001,0.5500000000000002,0.1,0.80→0.90,0.02192,0.54078,0.07449809780049427,100,500,0.01
0.6500000000000001,0.5500000000000002,0.1,0.80→0.95,0.02192,0.31862,0.10759430388968728,100,500,0.01
0.7000000000000002,0.6000000000000002,0.1,0.80→0.85,0.0,0.83484,0.0,100,500,0.01
0.7000000000000002,0.6000000000000002,0.1,0.80→0.90,0.0,0.59054,0.0,100,500,0.01
0.7000000000000002,0.6000000000000002,0.1,0.80→0.95,0.0,0.35954,0.0,100,500,0.01
0.7500000000000002,0.6500000000000002,0.1,0.80→0.85,0.0,0.84622,0.0,100,500,0.01
0.7500000000000002,0.6500000000000002,0.1,0.80→0.90,0.0,0.55432,0.0,100,500,0.01
0.7500000000000002,0.6500000000000002,0.1,0.80→0.95,0.0,0.37942,0.0,100,500,0.01
0.8000000000000003,0.7000000000000003,0.1,0.80→0.85,0.0,0.93038,0.0,100,500,0.01
0.8000000000000003,0.7000000000000003,0.1,0.80→0.90,0.0,0.60672,0.0,100,500,0.01
0.8000000000000003,0.7000000000000003,0.1,0.80→0.95,0.0,0.33446,0.0,100,500,0.01
0.8500000000000003,0.7500000000000003,0.1,0.80→0.85,0.0,1.0,0.0,100,500,0.01
0.8500000000000003,0.7500000000000003,0.1,0.80→0.90,0.0,0.644,0.0,100,500,0.01
0.8500000000000003,0.7500000000000003,0.1,0.80→0.95,0.0,0.3607,0.0,100,500,0.01
0.9000000000000004,0.8000000000000004,0.1,0.80→0.85,0.0,1.0,0.0,100,500,0.01
0.9000000000000004,0.8000000000000004,0.1,0.80→0.90,0.0,0.53356,0.0,100,500,0.01
0.9000000000000004,0.8000000000000004,0.1,0.80→0.95,0.0,0.2749,0.0,100,500,0.01
