mu1,mu2,gap,kappa,mean_income_no_storage,mean_income_with_storage,mean_gain_income,mean_gain_pct,mean_gain_CE,share_storing,mean_s,N,R,store_threshold
0.5,0.3,0.2,0.8,0.6790080851993058,0.6834402237348968,0.004432138535590438,0.006527372254018106,0.004549054922447384,0.24062,0.13631634349768337,100,500,0.01
0.5,0.3,0.2,0.85,0.6790080851993058,0.6948063237626063,0.015798238563300124,0.023266642780313408,0.015248804963203856,0.49716,0.33091312745596435,100,500,0.01
0.5,0.3,0.2,0.9,0.6790080851993058,0.7185148352572306,0.039506750057924415,0.058183033337916766,0.03738437917664574,0.69124,0.5653380472617808,100,500,0.01
0.5,0.3,0.2,0.95,0.6790080851993058,0.7500402987059269,0.07103221350662062,0.10461173446214014,0.06674059968456275,0.82198,0.7404669430633897,100,500,0.01
0.55,0.35000000000000003,0.2,0.8,0.6521693567979432,0.656276235346439,0.004106878548495753,0.006297257768524471,0.0046631042414538495,0.22998,0.13727504905993296,100,500,0.01
0.55,0.35000000000000003,0.2,0.85,0.6521693567979432,0.6670695785966384,0.014900221798695294,0.02284716637382408,0.015106518780776282,0.49144,0.3528274265442669,100,500,0.01
0.55,0.35000000000000003,0.2,0.9,0.6521693567979432,0.6850811141818292,0.032911757383885965,0.050465047216305056,0.031917728140846535,0.67272,0.5678808280266892,100,500,0.01
0.55,0.35000000000000003,0.2,0.95,0.6521693567979432,0.712866948534577,0.06069759173663351,0.09307029087437779,0.05772915640737113,0.87532,0.7612691742281394,100,500,0.01
0.6000000000000001,0.4000000000000001,0.2,0.8,0.629583534976627,0.6333473308797102,0.003763795903082924,0.005978231154372032,0.003972734864129987,0.18534,0.10884698490599752,100,500,0.01
0.6000000000000001,0.4000000000000001,0.2,0.85,0.629583534976627,0.642656036959363,0.013072501982735886,0.020763729126430274,0.012683733846952623,0.44252,0.3214427623151069,100,500,0.01
0.6000000000000001,0.4000000000000001,0.2,0.9,0.629583534976627,0.6619307589131143,0.0323472239364869,0.05137876411846825,0.030438831652591584,0.73226,0.5842132131264814,100,500,0.01
0.6000000000000001,0.4000000000000001,0.2,0.95,0.629583534976627,0.6909969881228974,0.06141345314627036,0.09754615509195735,0.05740049576776669,0.86598,0.7844723475018135,100,500,0.01
0.6500000000000001,0.4500000000000001,0.2,0.8,0.6134317199891566,0.6149239631449711,0.0014922431558146488,0.0024326149222257273,0.0014177072791699108,0.14096,0.080465653714783,100,500,0.01
0.6500000000000001,0.4500000000000001,0.2,0.85,0.6134317199891566,0.6233158449753651,0.009884124986208595,0.01611283646428848,0.009990147643701038,0.39328,0.28425438962558425,100,500,0.01
0.6500000000000001,0.4500000000000001,0.2,0.9,0.6134317199891566,0.6414184494257777,0.027986729436621297,0.045623218566314745,0.027099330622188972,0.65062,0.5488566363872542,100,500,0.01
0.6500000000000001,0.4500000000000001,0.2,0.95,0.6134317199891566,0.6683980541504435,0.05496633416128688,0.08960464933598299,0.052453941355215,0.85624,0.7553500177084936,100,500,0.01
0.7000000000000002,0.5000000000000002,0.2,0.8,0.5865839228117511,0.5881969026553961,0.0016129798436451603,0.0027497852922915085,0.0014637403934594816,0.1925,0.08127428377625617,100,500,0.01
0.7000000000000002,0.5000000000000002,0.2,0.85,0.5865839228117511,0.5997437018042779,0.01315977899252691,0.022434605656124956,0.012248591322742846,0.51076,0.3392028072710504,100,500,0.01
0.7000000000000002,0.5000000000000002,0.2,0.9,0.5865839228117511,0.6207337647557893,0.034149841944038355,0.058218168988139224,0.03174403087352331,0.75554,0.6187885873802519,100,500,0.01
0.7000000000000002,0.5000000000000002,0.2,0.95,0.5865839228117511,0.6487944765818401,0.06221055377008903,0.10605567481594248,0.058133312874429174,0.8637,0.804464600830072,100,500,0.01
0.7500000000000002,0.5500000000000003,0.2,0.8,0.5731669875810246,0.57317268130326,5.693722235612375e-06,9.93379304630234e-06,-0.0001942791934474575,0.16816,0.05146976862285723,100,500,0.01
0.7500000000000002,0.5500000000000003,0.2,0.85,0.5731669875810246,0.5813931055778248,0.00822611799680034,0.014352044299521211,0.006730622793052091,0.45524,0.3356332956318309,100,500,0.01
0.7500000000000002,0.5500000000000003,0.2,0.9,0.5731669875810246,0.6005905760424952,0.0274235884614708,0.04784572219897134,0.02540346050547994,0.6991,0.5954406615337267,100,500,0.01
0.7500000000000002,0.5500000000000003,0.2,0.95,0.5731669875810246,0.6248268978712405,0.05165991029021595,0.09013064501176113,0.0486849837294425,0.86034,0.781736699743809,100,500,0.01
0.8000000000000003,0.6000000000000003,0.2,0.8,0.5629365004708997,0.5629668781485507,3.0377677650987865e-05,5.3962885024372726e-05,2.2696622425631975e-05,0.07126,0.012449300493613745,100,500,0.01
0.8000000000000003,0.6000000000000003,0.2,0.85,0.5629365004708997,0.5683903507930635,0.005453850322163801,0.00968821584244748,0.0047641078047806875,0.37778,0.26612709554849623,100,500,0.01
0.8000000000000003,0.6000000000000003,0.2,0.9,0.5629365004708997,0.5851093731721754,0.02217287270127572,0.039387875333520915,0.02084442987898695,0.63912,0.5501843813909852,100,500,0.01
0.8000000000000003,0.6000000000000003,0.2,0.95,0.5629365004708997,0.6075330207595748,0.04459652028867502,0.07922122699681144,0.04292855674577125,0.80724,0.7397548890928842,100,500,0.01
0.8500000000000003,0.6500000000000004,0.2,0.8,0.5406717553398207,0.5406707049769602,-1.0503628605040838e-06,-1.942699706667628e-06,-8.24151207702295e-07,0.0,1.9924439207461776e-05,100,500,0.01
0.8500000000000003,0.6500000000000004,0.2,0.85,0.5406717553398207,0.5448198041644738,0.004148048824653175,0.007672027960917599,0.003629227113986758,0.50534,0.26173340718976046,100,500,0.01
0.8500000000000003,0.6500000000000004,0.2,0.9,0.5406717553398207,0.5629117615897027,0.022240006249882222,0.041134026385126955,0.01985235883067401,0.7567,0.6588126917490319,100,500,0.01
0.8500000000000003,0.6500000000000004,0.2,0.95,0.5406717553398207,0.5868546089273926,0.046182853587571966,0.08541754425189069,0.04328218913730379,0.832,0.8004654858719974,100,500,0.01
0.9000000000000004,0.7000000000000004,0.2,0.8,0.5272092875953297,0.5272082351184555,-1.0524768742381508e-06,-1.9963170205833035e-06,-8.809927928832284e-07,0.0,1.9924439207461776e-05,100,500,0.01
0.9000000000000004,0.7000000000000004,0.2,0.85,0.5272092875953297,0.5278470686134741,0.0006377810181442245,0.0012097302402467476,0.0005304274228565953,0.48028,0.1327106810683341,100,500,0.01
0.9000000000000004,0.7000000000000004,0.2,0.9,0.5272092875953297,0.5455795226217713,0.0183702350264415,0.03484429326007456,0.015136215746273192,0.75556,0.6665354863062455,100,500,0.01
0.9000000000000004,0.7000000000000004,0.2,0.95,0.5272092875953297,0.5689070717039489,0.0416977841086191,0.07909152036893932,0.03788261646133258,0.87522,0.8318681075594129,100,500,0.01
